epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,99445.2,0.54913,0.36065,0.91854,0.92988,0.87828,0.92555,0.75109,0.89014,0.47352,0.91296,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,100576,0.542,0.35215,0.91467,0.92947,0.87924,0.926,0.75158,0.88901,0.47287,0.91277,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,101694,0.54526,0.35717,0.91474,0.93053,0.87852,0.92616,0.75221,0.88784,0.47213,0.91239,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,102836,0.54222,0.35196,0.9126,0.93133,0.87818,0.92647,0.75278,0.88693,0.47112,0.91241,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,103961,0.53998,0.34891,0.91224,0.93143,0.87871,0.92695,0.75313,0.88575,0.47018,0.9121,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,105061,0.53751,0.34789,0.9103,0.93145,0.8801,0.92722,0.75367,0.8846,0.46936,0.91164,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,106279,0.43694,0.25451,0.8464,0.93342,0.87986,0.92749,0.75398,0.88334,0.46829,0.91137,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,107472,0.43167,0.24947,0.84292,0.93545,0.87943,0.92754,0.75443,0.88212,0.46713,0.91106,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,108685,0.42645,0.24717,0.84239,0.93527,0.87943,0.92762,0.75505,0.88086,0.46592,0.91104,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,109890,0.42195,0.24395,0.83896,0.93574,0.87965,0.92776,0.7553,0.87972,0.46479,0.91086,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,111041,0.41861,0.24132,0.83819,0.93521,0.88046,0.92803,0.75621,0.87853,0.46379,0.91071,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,112192,0.41597,0.23872,0.8393,0.93403,0.88256,0.9283,0.75672,0.87711,0.46284,0.91033,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,113343,0.41314,0.23625,0.83643,0.93485,0.88245,0.92872,0.75708,0.87571,0.46185,0.90988,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,114534,0.4109,0.23494,0.83574,0.93607,0.88267,0.92932,0.75787,0.87439,0.46088,0.90953,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,115728,0.40832,0.23371,0.83495,0.93623,0.88256,0.92936,0.75826,0.87337,0.45989,0.90932,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,116873,0.40388,0.23,0.8342,0.93663,0.88303,0.92957,0.7586,0.87233,0.45893,0.90902,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
